name,owner,unit,address,city,zip,county,cad_name,lat,lon,funding,phone_num,aka,eng_type_1,eng_type_2,eng_type_3,wtender_ty,wtender__1,other_reso,staffing,type,doz_type_2,remark,class,marker-symbol,marker-size,marker-color
Morro Toro FS,COUNTY,SLU,15325 Hwy 41,Atascadero,93422,San Luis Obispo,SLU Morro-Toro Stn,35.4535486673,-120.751231847,A,805-466-5089,#14,0,1,0,0,0,0,V,FS,0,,SCHED_A,fire-station,medium,0000FF
South Bay FS,COUNTY,SLU,2315 Bayview Heights Drive,Los Osos,93402,San Luis Obispo,SLU South Bay Stn,35.309413467,-120.833841323,A,805-528-1053,#15,0,2,0,0,0,Sm Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Airport FS,COUNTY,SLU,4651 Broad Street,San Luis Obispo,93401,San Luis Obispo,SLU Airport Stn,35.2381038857,-120.636333604,A,805-544-5105,#21,0,1,0,0,1,ICS Type 2 Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Mesa FS,COUNTY,SLU,2391 Willow Road,Arroyo Grande,93405,San Luis Obispo,SLU Mesa Stn,35.0468495698,-120.587428287,A,805-473-7171,#22,0,2,0,0,0,0,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Oak Shores FS,COUNTY,SLU,2569 Shoreline Drive,Paso Robles,93446,San Luis Obispo,SLU Oak Shores Stn,35.756706686,-120.984282557,A,805-427-9548,#34,0,1,0,0,0,0,V,FS,0,,SCHED_A,fire-station,medium,0000FF
Heritage Ranch FS,COUNTY,SLU,"#3 Village Rd, Heritage Rnch 1",Paso Robles,93446,San Luis Obispo,SLU Heritage Ranch Stn,35.7219763345,-120.885694579,A,805-227-6553,#33,2,0,0,0,0,Sm Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Meridian FS,COUNTY,SLU,4050 Branch,Paso Robles,93446,San Luis Obispo,SLU Meridian Stn,35.6605841793,-120.578517157,A,805-237-3155,#36,1,0,0,0,0,0,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Creston FS,COUNTY,SLU,6055 Webster Rd,Creston,93432,San Luis Obispo,SLU Creston Stn,35.526373,-120.521403,A,805-238-4343,#43,1,1,0,0,0,0,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Carrizo Plain FS,COUNTY,SLU,"13080 Soda Lake Rd, POB 3099",California Valley,93453,San Luis Obispo,SLU Carrizo Plain Stn,35.3209542917,-120.003495395,A,805-475-2322,#42,0,0,1,0,0,Sm Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Shell Beach FS,CITY,SLU,2555 Shell Beach Road,Pismo Beach,93449,San Luis Obispo,SLU Shell Beach Stn,35.1622210128,-120.684396674,A,805-773-7051,#63,0,1,0,0,0,0,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Avila Valley FS,COUNTY,SLU,1551 Sparrow Street,San Luis Obispo,93405,San Luis Obispo,SLU Avila Valley Stn,35.1937497262,-120.718626286,A,805-595-2115,#62,1,0,0,0,0,BreathingSupp,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Pismo Beach FS,CITY,SLU,1000 Bello Street,Pismo Beach,93449,San Luis Obispo,SLU Pismo Stn,35.1440975382,-120.640374345,A,805-773-7050,#64,2,0,0,0,0,Sm Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Parkhill FS,COUNTY,SLU,6140 Parkhill Rd,Santa Margarita,93453,San Luis Obispo,SLU Parkhill Stn,35.4076463483,-120.545853886,A,805-438-5426,#40,0,1,0,0,1,0,P,FS,0,,SCHED_A,fire-station,medium,0000FF
